epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.936,2.63437,4.36089,3.53645,0.21043,0.14155,0.04944,0.02303,1.79183,3.7407,2.65977,0.000151343,0.000151343,0.000151343
2,524.489,1.74072,3.06721,2.39412,0.2123,0.3312,0.14912,0.09375,1.33032,2.52688,2.04415,0.000243013,0.000243013,0.000243013
3,787.67,1.49531,2.57221,2.09719,0.27055,0.53097,0.19738,0.13161,1.12567,2.41331,1.77332,0.000274624,0.000274624,0.000274624
4,1049.49,1.34067,2.30136,1.93075,0.32775,0.46179,0.26717,0.19134,1.07718,1.92622,1.71123,0.00018473,0.00018473,0.00018473
5,1311.03,1.23418,2.10222,1.81604,0.41899,0.4454,0.29639,0.22297,0.92539,1.84487,1.55974,9.464e-05,9.464e-05,9.464e-05
